季度,标准化方法,标准化前均值,标准化后均值,标准化前标准差,标准化后标准差,标准化前范围,标准化后范围
Q1,min_max,3.6236,0.1856,0.73,0.0994,-1.0~40.0,0.0~1.0
Q2,min_max,1.328,0.3379,0.1424,0.1724,0.0~10.0,0.0~1.0
